pitch,gm_name,count,share_pct,vel_mean,vel_std,vel_median,vel_p10,vel_p90
38,Acoustic Snare,2603554,23.5183,54.94,36.25,43.0,14.0,125.0
36,Bass Drum 1,2180435,19.6962,54.2,32.17,48.0,13.0,108.0
44,Pedal Hi-Hat,1227540,11.0885,64.0,22.51,65.0,30.0,92.0
51,Ride Cymbal 1,1200689,10.846,66.32,28.4,60.0,35.0,113.0
42,Closed Hi Hat,709957,6.4131,48.64,27.06,43.0,20.0,87.0
22,Hi-Hat Closed (Edge),691178,6.2435,83.64,31.06,82.0,43.0,127.0
40,Electric Snare,600033,5.4202,112.59,20.29,122.0,92.0,127.0
48,Hi-Mid Tom,303451,2.7411,88.57,28.53,88.0,51.0,127.0
43,High Floor Tom,293303,2.6494,88.81,29.48,90.0,48.0,127.0
37,Side Stick,264018,2.3849,61.18,20.92,64.0,33.0,86.0
26,Hi-Hat Open (Edge),214760,1.94,98.95,29.18,106.0,56.0,127.0
53,Ride Bell,186964,1.6889,89.96,32.1,90.0,46.0,127.0
54,Tambourine,141473,1.2779,69.45,31.39,67.0,29.0,124.0
45,Low Tom,105780,0.9555,89.68,27.47,89.0,54.0,127.0
55,Splash Cymbal,70090,0.6331,94.26,23.35,94.0,63.0,127.0
59,Ride Cymbal 2,58953,0.5325,83.07,29.12,82.0,43.0,127.0
46,Open Hi-Hat,52640,0.4755,57.73,33.32,51.0,17.0,116.0
50,High Tom,45960,0.4152,98.84,27.12,105.0,56.0,127.0
52,Chinese Cymbal,30272,0.2735,97.22,27.8,102.0,55.0,127.0
47,Low-Mid Tom,29946,0.2705,96.6,26.27,100.0,58.0,127.0
58,Vibra Slap,26754,0.2417,100.51,32.23,112.0,45.0,127.0
49,Crash Cymbal 1,14706,0.1328,35.99,34.64,16.0,6.0,92.0
57,Crash Cymbal 2,6966,0.0629,67.07,31.18,60.0,33.0,119.0
39,Hand Clap,6373,0.0576,97.86,27.85,103.0,54.0,127.0
56,Cowbell,4550,0.0411,97.19,27.29,102.0,55.0,127.0
